promo_id,promo_name,promo_type,discount_value,applicable_scope,scope_value,start_date,end_date,min_order_value,max_discount
PRM00047,Bundle 3 (47),bundle,3,CATEGORY,CAT0132,2024-12-03,2024-12-08,999,0
PRM00048,Flat Off 1085 (48),flat_off,1085,CATEGORY,CAT0102,2025-11-26,2025-11-30,499,0
PRM00049,Bogo 1 (49),bogo,1,CATEGORY,CAT0098,2026-02-17,2026-03-28,0,0
PRM00050,Bundle 1 (50),bundle,1,GLOBAL,,2025-09-13,2025-11-01,0,1000
PRM00051,Flat Off 578 (51),flat_off,578,CATEGORY,CAT0064,2026-01-25,2026-03-20,0,1000
PRM00052,Percent Off 44% (52),percent_off,44,SKU,SKU003492,2024-04-16,2024-06-05,199,0
PRM00053,Percent Off 41% (53),percent_off,41,SKU,SKU003214,2025-06-26,2025-08-17,199,1000
PRM00054,Percent Off 17% (54),percent_off,17,CATEGORY,CAT0109,2024-11-27,2024-12-27,0,100
PRM00055,Bogo 2 (55),bogo,2,GLOBAL,,2025-06-28,2025-07-25,0,1000
PRM00056,Bundle 2 (56),bundle,2,SKU,SKU000608,2024-03-05,2024-04-10,199,100
PRM00057,Percent Off 14% (57),percent_off,14,SKU,SKU000378,2024-03-20,2024-04-20,499,500
PRM00058,Percent Off 32% (58),percent_off,32,SKU,SKU001510,2025-06-20,2025-08-16,0,100
PRM00059,Percent Off 26% (59),percent_off,26,SKU,SKU003254,2024-01-06,2024-02-09,199,0
PRM00060,Percent Off 15% (60),percent_off,15,STORE,STR00031,2024-11-10,2024-12-10,0,1000
PRM00061,Percent Off 29% (61),percent_off,29,SKU,SKU002676,2024-10-16,2024-10-27,199,0
PRM00062,Percent Off 22% (62),percent_off,22,STORE,STR00097,2025-10-31,2025-11-14,199,1000
PRM00063,Flat Off 465 (63),flat_off,465,SKU,SKU003915,2025-11-09,2025-12-30,0,0
PRM00064,Percent Off 15% (64),percent_off,15,GLOBAL,,2024-07-13,2024-09-08,0,1000
PRM00065,Bogo 1 (65),bogo,1,CATEGORY,CAT0129,2025-06-06,2025-07-03,199,0
PRM00066,Percent Off 29% (66),percent_off,29,STORE,STR00114,2024-11-16,2024-11-29,999,100
PRM00067,Percent Off 40% (67),percent_off,40,SKU,SKU003666,2024-09-04,2024-10-05,199,500
PRM00068,Bundle 1 (68),bundle,1,SKU,SKU000346,2026-01-29,2026-03-26,0,100
PRM00069,Bogo 2 (69),bogo,2,SKU,SKU002859,2024-07-11,2024-09-08,0,500
PRM00070,Bundle 3 (70),bundle,3,SKU,SKU002048,2024-04-23,2024-05-05,999,100
PRM00071,Flat Off 1095 (71),flat_off,1095,SKU,SKU000704,2024-07-24,2024-09-04,0,100
PRM00072,Percent Off 47% (72),percent_off,47,STORE,STR00107,2025-07-05,2025-08-22,0,500
PRM00073,Percent Off 5% (73),percent_off,5,SKU,SKU002164,2024-01-01,2024-02-25,199,500
PRM00074,Percent Off 5% (74),percent_off,5,CATEGORY,CAT0096,2025-05-17,2025-06-05,999,2500
PRM00075,Flat Off 1096 (75),flat_off,1096,CATEGORY,CAT0062,2024-07-18,2024-09-15,199,0
PRM00076,Percent Off 43% (76),percent_off,43,CATEGORY,CAT0063,2024-12-12,2024-12-18,0,1000
PRM00077,Percent Off 36% (77),percent_off,36,STORE,STR00103,2025-09-30,2025-10-12,999,500
PRM00078,Percent Off 31% (78),percent_off,31,SKU,SKU001051,2024-03-05,2024-04-26,199,500
PRM00079,Flat Off 579 (79),flat_off,579,CATEGORY,CAT0084,2025-02-24,2025-03-11,199,0
PRM00080,Percent Off 38% (80),percent_off,38,CATEGORY,CAT0060,2024-08-28,2024-10-11,199,0
PRM00081,Percent Off 50% (81),percent_off,50,GLOBAL,,2024-10-02,2024-11-11,0,0
PRM00082,Percent Off 22% (82),percent_off,22,CATEGORY,CAT0122,2025-01-08,2025-02-05,0,0
PRM00083,Flat Off 161 (83),flat_off,161,SKU,SKU003794,2025-07-03,2025-08-16,199,0
PRM00084,Percent Off 11% (84),percent_off,11,SKU,SKU000411,2025-10-29,2025-12-06,999,0
PRM00085,Percent Off 19% (85),percent_off,19,CATEGORY,CAT0135,2024-10-02,2024-11-20,0,1000
PRM00086,Flat Off 751 (86),flat_off,751,STORE,STR00023,2025-10-27,2025-12-14,499,0
PRM00087,Percent Off 7% (87),percent_off,7,CATEGORY,CAT0077,2025-08-02,2025-09-09,0,2500
PRM00088,Percent Off 16% (88),percent_off,16,CATEGORY,CAT0056,2025-04-10,2025-05-21,199,100
PRM00089,Bundle 3 (89),bundle,3,SKU,SKU001534,2025-10-01,2025-10-31,999,100
PRM00090,Bogo 1 (90),bogo,1,SKU,SKU001067,2025-08-01,2025-09-22,499,0
PRM00091,Percent Off 34% (91),percent_off,34,CATEGORY,CAT0098,2024-06-18,2024-07-21,199,0
PRM00092,Bogo 2 (92),bogo,2,SKU,SKU001906,2025-04-29,2025-05-18,499,100
PRM00093,Bundle 2 (93),bundle,2,CATEGORY,CAT0010,2024-09-14,2024-10-26,499,0
PRM00094,Bogo 3 (94),bogo,3,GLOBAL,,2025-10-11,2025-10-31,499,500
PRM00095,Flat Off 530 (95),flat_off,530,STORE,STR00081,2025-06-21,2025-07-02,499,0
PRM00096,Percent Off 40% (96),percent_off,40,SKU,SKU001922,2024-05-13,2024-06-05,0,0
PRM00097,Percent Off 29% (97),percent_off,29,SKU,SKU001485,2026-02-17,2026-04-04,999,100
PRM00098,Bogo 1 (98),bogo,1,SKU,SKU001018,2024-11-12,2025-01-05,0,500
PRM00099,Flat Off 202 (99),flat_off,202,CATEGORY,CAT0065,2026-01-05,2026-01-30,0,0
PRM00100,Bundle 3 (100),bundle,3,SKU,SKU002750,2024-08-23,2024-10-19,499,2500
PRM00101,Bogo 3 (101),bogo,3,SKU,SKU002404,2025-11-22,2025-11-26,499,0
PRM00102,Bundle 3 (102),bundle,3,CATEGORY,CAT0066,2024-10-19,2024-11-20,199,1000
PRM00103,Percent Off 34% (103),percent_off,34,SKU,SKU001374,2025-08-31,2025-10-14,199,500
PRM00104,Percent Off 41% (104),percent_off,41,CATEGORY,CAT0029,2025-09-08,2025-10-12,999,0
PRM00105,Bogo 1 (105),bogo,1,CATEGORY,CAT0040,2025-02-28,2025-03-24,0,500
PRM00106,Flat Off 630 (106),flat_off,630,SKU,SKU003237,2025-07-17,2025-08-28,199,100
PRM00107,Flat Off 1369 (107),flat_off,1369,SKU,SKU000740,2024-03-27,2024-05-03,0,100
PRM00108,Bundle 3 (108),bundle,3,CATEGORY,CAT0023,2025-12-27,2026-02-23,199,0
PRM00109,Bogo 1 (109),bogo,1,STORE,STR00125,2025-09-25,2025-10-14,499,0
PRM00110,Flat Off 664 (110),flat_off,664,CATEGORY,CAT0090,2024-02-02,2024-03-31,499,0
PRM00111,Flat Off 255 (111),flat_off,255,SKU,SKU000218,2025-12-27,2026-02-04,0,500
PRM00112,Bundle 2 (112),bundle,2,SKU,SKU001188,2024-05-15,2024-05-24,0,500
PRM00113,Flat Off 385 (113),flat_off,385,SKU,SKU002689,2024-08-14,2024-10-05,0,1000
PRM00114,Bogo 1 (114),bogo,1,STORE,STR00015,2025-12-08,2025-12-24,199,0
PRM00115,Flat Off 502 (115),flat_off,502,SKU,SKU001255,2024-05-29,2024-07-13,0,0
PRM00116,Percent Off 15% (116),percent_off,15,SKU,SKU002730,2024-03-22,2024-05-04,0,0
PRM00117,Percent Off 49% (117),percent_off,49,STORE,STR00110,2024-11-08,2024-12-07,199,100
PRM00118,Percent Off 46% (118),percent_off,46,CATEGORY,CAT0118,2024-09-30,2024-11-24,0,0
PRM00119,Percent Off 39% (119),percent_off,39,SKU,SKU000691,2025-04-13,2025-05-28,199,1000
PRM00120,Bundle 3 (120),bundle,3,SKU,SKU003344,2025-09-02,2025-09-23,199,500
PRM00121,Percent Off 39% (121),percent_off,39,SKU,SKU002710,2024-01-31,2024-02-18,0,500
PRM00122,Flat Off 1120 (122),flat_off,1120,CATEGORY,CAT0134,2024-03-22,2024-05-03,0,100
PRM00123,Flat Off 1400 (123),flat_off,1400,CATEGORY,CAT0128,2024-02-04,2024-03-12,0,100
PRM00124,Percent Off 34% (124),percent_off,34,CATEGORY,CAT0100,2024-10-21,2024-11-17,0,100
PRM00125,Percent Off 30% (125),percent_off,30,SKU,SKU003082,2024-11-06,2024-12-08,199,0
PRM00126,Flat Off 1493 (126),flat_off,1493,CATEGORY,CAT0017,2025-04-18,2025-05-23,199,0
PRM00127,Flat Off 656 (127),flat_off,656,CATEGORY,CAT0034,2024-02-24,2024-03-07,0,100
PRM00128,Flat Off 1292 (128),flat_off,1292,CATEGORY,CAT0077,2025-07-30,2025-09-15,0,1000
PRM00129,Bundle 2 (129),bundle,2,STORE,STR00010,2024-01-26,2024-03-12,0,0
PRM00130,Percent Off 38% (130),percent_off,38,CATEGORY,CAT0044,2024-12-31,2025-02-16,0,100
PRM00131,Flat Off 1244 (131),flat_off,1244,SKU,SKU001974,2024-06-03,2024-06-29,499,1000
PRM00132,Percent Off 11% (132),percent_off,11,CATEGORY,CAT0042,2026-02-01,2026-02-11,999,100
PRM00133,Percent Off 11% (133),percent_off,11,CATEGORY,CAT0059,2025-02-06,2025-03-14,0,1000
PRM00134,Bogo 2 (134),bogo,2,SKU,SKU002092,2024-10-19,2024-11-29,0,0
PRM00135,Percent Off 40% (135),percent_off,40,STORE,STR00113,2025-02-28,2025-03-18,199,1000
PRM00136,Bogo 2 (136),bogo,2,STORE,STR00131,2025-12-07,2026-01-30,999,0
PRM00137,Percent Off 26% (137),percent_off,26,SKU,SKU002243,2025-03-12,2025-03-18,0,100
PRM00138,Percent Off 31% (138),percent_off,31,SKU,SKU002653,2025-12-28,2026-01-09,0,1000
PRM00139,Percent Off 33% (139),percent_off,33,STORE,STR00131,2024-10-25,2024-11-28,0,100
PRM00140,Flat Off 1314 (140),flat_off,1314,SKU,SKU000674,2025-10-11,2025-11-15,499,0
PRM00141,Percent Off 26% (141),percent_off,26,SKU,SKU001703,2025-11-20,2026-01-06,499,1000
PRM00142,Flat Off 547 (142),flat_off,547,STORE,STR00108,2026-02-16,2026-04-02,199,2500
PRM00143,Flat Off 516 (143),flat_off,516,STORE,STR00001,2025-02-14,2025-04-08,999,0
PRM00144,Percent Off 38% (144),percent_off,38,CATEGORY,CAT0104,2025-03-06,2025-03-18,0,0
PRM00145,Percent Off 12% (145),percent_off,12,CATEGORY,CAT0040,2025-05-20,2025-06-17,199,500
PRM00146,Bogo 3 (146),bogo,3,CATEGORY,CAT0106,2025-10-30,2025-12-02,499,0
PRM00147,Bundle 3 (147),bundle,3,STORE,STR00072,2025-03-09,2025-04-24,199,100
PRM00148,Percent Off 29% (148),percent_off,29,SKU,SKU002084,2025-04-06,2025-04-17,0,0
PRM00149,Flat Off 628 (149),flat_off,628,CATEGORY,CAT0072,2024-01-04,2024-02-08,199,100
PRM00150,Percent Off 37% (150),percent_off,37,CATEGORY,CAT0081,2025-12-18,2026-01-23,0,0
PRM00151,Percent Off 15% (151),percent_off,15,CATEGORY,CAT0102,2025-08-20,2025-10-08,0,500
PRM00152,Percent Off 12% (152),percent_off,12,CATEGORY,CAT0113,2025-05-23,2025-05-29,999,0
PRM00153,Percent Off 49% (153),percent_off,49,STORE,STR00066,2025-10-08,2025-11-15,199,0
PRM00154,Flat Off 639 (154),flat_off,639,SKU,SKU000501,2024-02-15,2024-04-04,0,1000
PRM00155,Bundle 1 (155),bundle,1,CATEGORY,CAT0034,2025-04-27,2025-06-19,0,0
PRM00156,Percent Off 50% (156),percent_off,50,SKU,SKU001225,2024-12-13,2025-02-08,0,1000
PRM00157,Percent Off 5% (157),percent_off,5,CATEGORY,CAT0080,2025-09-02,2025-10-08,499,0
PRM00158,Bundle 3 (158),bundle,3,SKU,SKU002438,2025-05-11,2025-06-06,199,500
PRM00159,Flat Off 651 (159),flat_off,651,STORE,STR00035,2024-05-09,2024-06-29,199,1000
PRM00160,Percent Off 25% (160),percent_off,25,CATEGORY,CAT0099,2025-05-11,2025-06-02,0,0
PRM00161,Percent Off 44% (161),percent_off,44,CATEGORY,CAT0047,2025-07-25,2025-08-10,0,1000
PRM00162,Percent Off 46% (162),percent_off,46,STORE,STR00071,2025-01-17,2025-03-13,999,0
PRM00163,Percent Off 11% (163),percent_off,11,SKU,SKU003067,2026-01-24,2026-02-16,0,1000
PRM00164,Bogo 1 (164),bogo,1,SKU,SKU002580,2024-08-10,2024-08-30,0,2500
PRM00165,Bogo 2 (165),bogo,2,SKU,SKU001951,2025-10-01,2025-10-15,499,100
PRM00166,Bogo 2 (166),bogo,2,SKU,SKU000300,2025-11-08,2025-11-15,499,100
PRM00167,Percent Off 38% (167),percent_off,38,STORE,STR00055,2024-06-25,2024-08-01,0,0
PRM00168,Percent Off 45% (168),percent_off,45,STORE,STR00096,2026-01-06,2026-01-18,199,0
PRM00169,Bogo 1 (169),bogo,1,SKU,SKU001001,2025-06-16,2025-07-24,0,0
PRM00170,Percent Off 32% (170),percent_off,32,SKU,SKU003590,2025-08-15,2025-08-21,0,0
PRM00171,Percent Off 22% (171),percent_off,22,GLOBAL,,2025-07-13,2025-09-05,199,500
PRM00172,Bogo 2 (172),bogo,2,SKU,SKU000565,2025-05-26,2025-07-23,0,2500
PRM00173,Flat Off 369 (173),flat_off,369,CATEGORY,CAT0007,2024-08-19,2024-10-14,999,2500
PRM00174,Percent Off 29% (174),percent_off,29,CATEGORY,CAT0041,2025-08-24,2025-10-06,0,0
PRM00175,Percent Off 46% (175),percent_off,46,SKU,SKU001209,2025-03-06,2025-04-07,0,500
PRM00176,Bogo 3 (176),bogo,3,SKU,SKU002588,2024-08-29,2024-10-02,0,100
PRM00177,Percent Off 40% (177),percent_off,40,SKU,SKU002372,2024-10-07,2024-10-20,0,0
PRM00178,Percent Off 44% (178),percent_off,44,CATEGORY,CAT0123,2025-03-03,2025-04-06,0,0
PRM00179,Percent Off 33% (179),percent_off,33,SKU,SKU003387,2025-03-25,2025-04-05,199,2500
PRM00180,Bogo 1 (180),bogo,1,CATEGORY,CAT0025,2025-05-18,2025-06-17,499,0
PRM00181,Percent Off 43% (181),percent_off,43,STORE,STR00148,2024-08-31,2024-10-27,0,2500
PRM00182,Percent Off 27% (182),percent_off,27,CATEGORY,CAT0098,2025-01-05,2025-01-24,199,2500
PRM00183,Bogo 3 (183),bogo,3,SKU,SKU003770,2025-07-11,2025-07-14,199,0
PRM00184,Bundle 2 (184),bundle,2,SKU,SKU000140,2024-03-22,2024-03-31,199,2500
PRM00185,Percent Off 22% (185),percent_off,22,GLOBAL,,2024-02-18,2024-03-26,0,2500
PRM00186,Bogo 3 (186),bogo,3,SKU,SKU003749,2024-01-14,2024-01-17,0,1000
PRM00187,Flat Off 1090 (187),flat_off,1090,SKU,SKU003694,2024-04-23,2024-06-08,0,500
PRM00188,Flat Off 1345 (188),flat_off,1345,CATEGORY,CAT0043,2025-10-09,2025-11-03,0,100
PRM00189,Percent Off 5% (189),percent_off,5,SKU,SKU001908,2024-05-29,2024-07-19,499,1000
PRM00190,Percent Off 16% (190),percent_off,16,CATEGORY,CAT0081,2024-02-15,2024-02-26,199,0
PRM00191,Percent Off 10% (191),percent_off,10,SKU,SKU000712,2024-02-10,2024-03-12,999,100
PRM00192,Percent Off 38% (192),percent_off,38,SKU,SKU000342,2024-03-12,2024-04-13,0,0
PRM00193,Flat Off 701 (193),flat_off,701,STORE,STR00067,2025-12-02,2026-01-25,499,0
PRM00194,Percent Off 10% (194),percent_off,10,CATEGORY,CAT0078,2025-04-29,2025-06-10,199,0
PRM00195,Flat Off 529 (195),flat_off,529,STORE,STR00068,2025-01-19,2025-02-05,0,0
PRM00196,Percent Off 46% (196),percent_off,46,SKU,SKU002939,2025-04-16,2025-05-24,499,0
PRM00197,Flat Off 1074 (197),flat_off,1074,SKU,SKU001907,2026-01-29,2026-03-14,199,500
PRM00198,Percent Off 42% (198),percent_off,42,CATEGORY,CAT0040,2024-01-29,2024-02-24,0,0
PRM00199,Percent Off 22% (199),percent_off,22,CATEGORY,CAT0096,2025-09-04,2025-09-13,199,0
PRM00200,Flat Off 561 (200),flat_off,561,SKU,SKU003939,2025-11-08,2025-12-30,0,2500
