mapping_id,store_id,region_id,region_name,effective_from,effective_to
64,STR00062,BLR,Bengaluru Metro,2024-01-01,
65,STR00063,CHN,Chennai Metro,2024-01-01,
66,STR00064,PUN,Pune Metro,2024-01-01,
67,STR00065,KOL,Kolkata Metro,2024-01-01,
68,STR00066,AHM,Ahmedabad Metro,2024-01-01,
69,STR00067,BLR,Bengaluru Metro,2024-01-01,
70,STR00068,BLR,Bengaluru Metro,2024-01-01,
71,STR00069,CHN,Chennai Metro,2024-01-01,
72,STR00070,MUM,Mumbai Metro,2024-01-01,2025-06-19
73,STR00070,KOL,Kolkata Metro,2025-06-20,
74,STR00071,HYD,Hyderabad Metro,2024-01-01,
75,STR00072,AHM,Ahmedabad Metro,2024-01-01,
76,STR00073,DEL,Delhi NCR,2024-01-01,
77,STR00074,CHN,Chennai Metro,2024-01-01,
78,STR00075,HYD,Hyderabad Metro,2024-01-01,
79,STR00076,BLR,Bengaluru Metro,2024-01-01,
80,STR00077,CHN,Chennai Metro,2024-01-01,
81,STR00078,MUM,Mumbai Metro,2024-01-01,
82,STR00079,DEL,Delhi NCR,2024-01-01,
83,STR00080,PUN,Pune Metro,2024-01-01,
84,STR00081,BLR,Bengaluru Metro,2025-02-01,
85,STR00082,AHM,Ahmedabad Metro,2024-01-01,
86,STR00083,KOL,Kolkata Metro,2024-01-01,
87,STR00084,MUM,Mumbai Metro,2024-01-01,
88,STR00085,AHM,Ahmedabad Metro,2024-01-01,
89,STR00086,KOL,Kolkata Metro,2024-01-01,
90,STR00087,MUM,Mumbai Metro,2024-01-01,
91,STR00088,PUN,Pune Metro,2024-01-01,
92,STR00089,BLR,Bengaluru Metro,2024-01-01,
93,STR00090,HYD,Hyderabad Metro,2024-01-01,
94,STR00091,DEL,Delhi NCR,2024-01-01,
95,STR00092,HYD,Hyderabad Metro,2024-01-01,
96,STR00093,BLR,Bengaluru Metro,2024-01-01,
97,STR00094,AHM,Ahmedabad Metro,2025-10-20,
98,STR00095,CHN,Chennai Metro,2024-01-01,
99,STR00096,CHN,Chennai Metro,2024-01-01,
100,STR00097,CHN,Chennai Metro,2024-01-01,2025-05-17
101,STR00097,PUN,Pune Metro,2025-05-18,
102,STR00098,CHN,Chennai Metro,2024-01-01,
103,STR00099,PUN,Pune Metro,2024-01-01,
104,STR00100,CHN,Chennai Metro,2024-01-01,2024-10-21
105,STR00100,PUN,Pune Metro,2024-10-22,
106,STR00101,CHN,Chennai Metro,2024-01-01,
107,STR00102,DEL,Delhi NCR,2024-01-01,
108,STR00103,CHN,Chennai Metro,2024-01-01,
109,STR00104,PUN,Pune Metro,2024-01-01,
110,STR00105,HYD,Hyderabad Metro,2024-01-01,
111,STR00106,MUM,Mumbai Metro,2024-01-01,
112,STR00107,PUN,Pune Metro,2024-01-01,
113,STR00108,HYD,Hyderabad Metro,2024-01-01,
114,STR00109,HYD,Hyderabad Metro,2024-01-01,
115,STR00110,HYD,Hyderabad Metro,2024-01-01,
116,STR00111,DEL,Delhi NCR,2024-01-01,
117,STR00112,AHM,Ahmedabad Metro,2024-01-01,
118,STR00113,BLR,Bengaluru Metro,2024-01-01,
119,STR00114,MUM,Mumbai Metro,2024-01-01,
120,STR00115,HYD,Hyderabad Metro,2024-01-01,
121,STR00116,CHN,Chennai Metro,2024-01-01,
122,STR00117,BLR,Bengaluru Metro,2024-08-13,
123,STR00118,MUM,Mumbai Metro,2024-01-01,
124,STR00119,DEL,Delhi NCR,2024-11-15,
125,STR00120,AHM,Ahmedabad Metro,2024-01-01,
126,STR00121,MUM,Mumbai Metro,2024-01-01,
127,STR00122,DEL,Delhi NCR,2024-01-01,2025-03-07
128,STR00122,PUN,Pune Metro,2025-03-08,
129,STR00123,HYD,Hyderabad Metro,2024-01-01,
130,STR00124,CHN,Chennai Metro,2024-01-01,
131,STR00125,BLR,Bengaluru Metro,2024-01-01,
132,STR00126,MUM,Mumbai Metro,2024-01-01,
133,STR00127,AHM,Ahmedabad Metro,2024-01-01,
134,STR00128,CHN,Chennai Metro,2025-05-06,
135,STR00129,AHM,Ahmedabad Metro,2025-07-17,
136,STR00130,HYD,Hyderabad Metro,2024-01-01,
137,STR00131,AHM,Ahmedabad Metro,2024-01-01,
138,STR00132,PUN,Pune Metro,2024-01-01,
139,STR00133,DEL,Delhi NCR,2024-05-06,
140,STR00134,MUM,Mumbai Metro,2024-04-04,
141,STR00135,MUM,Mumbai Metro,2024-01-01,
142,STR00136,KOL,Kolkata Metro,2024-01-01,
143,STR00137,MUM,Mumbai Metro,2024-01-01,
144,STR00138,CHN,Chennai Metro,2024-01-01,
145,STR00139,PUN,Pune Metro,2024-01-01,
146,STR00140,MUM,Mumbai Metro,2024-01-01,
147,STR00141,HYD,Hyderabad Metro,2024-01-01,
148,STR00142,BLR,Bengaluru Metro,2024-01-01,
149,STR00143,CHN,Chennai Metro,2024-01-01,
150,STR00144,MUM,Mumbai Metro,2024-01-01,
151,STR00145,CHN,Chennai Metro,2024-01-01,
152,STR00146,AHM,Ahmedabad Metro,2024-01-01,
153,STR00147,AHM,Ahmedabad Metro,2025-03-16,
154,STR00148,MUM,Mumbai Metro,2024-01-01,
155,STR00149,AHM,Ahmedabad Metro,2024-01-21,
156,STR00150,PUN,Pune Metro,2024-01-01,
