return_id,order_id,order_item_id,quantity_returned,refund_amount,return_reason,refund_status,return_offset_days
RET000000184,ORD000001382,OIT0000003555,1,1587.4,quality,refunded,9
RET000000185,ORD000001391,OIT0000003570,1,10961.67,quality,pending,6
RET000000186,ORD000001395,OIT0000003582,4,13441.08,damaged,refunded,15
RET000000187,ORD000001399,OIT0000003593,1,2140.96,changed_mind,refunded,7
RET000000188,ORD000001409,OIT0000003618,2,7032.14,changed_mind,refunded,21
RET000000189,ORD000001410,OIT0000003619,1,63397.61,not_as_described,refunded,15
RET000000190,ORD000001410,OIT0000003620,1,37739.2,quality,refunded,13
RET000000191,ORD000001418,OIT0000003635,4,5228.72,wrong_item,refunded,25
RET000000192,ORD000001426,OIT0000003651,1,1716.97,changed_mind,refunded,12
RET000000193,ORD000001430,OIT0000003665,1,1716.97,not_as_described,refunded,1
RET000000194,ORD000001441,OIT0000003693,1,32351.9,changed_mind,refunded,2
RET000000195,ORD000001444,OIT0000003698,1,45502.17,size_mismatch,refunded,22
RET000000196,ORD000001445,OIT0000003700,4,12817.36,wrong_item,refunded,10
RET000000197,ORD000001454,OIT0000003721,3,2964.69,changed_mind,refunded,14
RET000000198,ORD000001454,OIT0000003723,2,473.88,wrong_item,refunded,7
RET000000199,ORD000001467,OIT0000003751,3,1002.52,damaged,pending,5
RET000000200,ORD000001471,OIT0000003761,2,1400.92,changed_mind,refunded,5
