date,day_of_week,day_of_month,month,month_name,year,quarter_num,quarter,fiscal_year,fiscal_quarter,is_weekend,is_holiday,holiday_name
2024-02-14,Wednesday,14,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-15,Thursday,15,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-16,Friday,16,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-17,Saturday,17,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-18,Sunday,18,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-19,Monday,19,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-20,Tuesday,20,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-21,Wednesday,21,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-22,Thursday,22,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-23,Friday,23,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-24,Saturday,24,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-25,Sunday,25,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-26,Monday,26,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-27,Tuesday,27,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-28,Wednesday,28,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-29,Thursday,29,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-01,Friday,1,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-02,Saturday,2,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-03,Sunday,3,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-04,Monday,4,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-05,Tuesday,5,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-06,Wednesday,6,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-07,Thursday,7,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-08,Friday,8,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-09,Saturday,9,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-10,Sunday,10,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-11,Monday,11,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-12,Tuesday,12,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-13,Wednesday,13,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-14,Thursday,14,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-15,Friday,15,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-16,Saturday,16,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-17,Sunday,17,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-18,Monday,18,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-19,Tuesday,19,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-20,Wednesday,20,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-21,Thursday,21,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-22,Friday,22,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-23,Saturday,23,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-24,Sunday,24,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-25,Monday,25,3,March,2024,1,2024Q1,2023,FY23Q4,False,1,Holi
2024-03-26,Tuesday,26,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-27,Wednesday,27,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-28,Thursday,28,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-29,Friday,29,3,March,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-03-30,Saturday,30,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-03-31,Sunday,31,3,March,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-04-01,Monday,1,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-02,Tuesday,2,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-03,Wednesday,3,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-04,Thursday,4,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-05,Friday,5,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-06,Saturday,6,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-07,Sunday,7,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-08,Monday,8,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-09,Tuesday,9,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-10,Wednesday,10,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-11,Thursday,11,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-12,Friday,12,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-13,Saturday,13,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-14,Sunday,14,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-15,Monday,15,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-16,Tuesday,16,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-17,Wednesday,17,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-18,Thursday,18,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-19,Friday,19,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-20,Saturday,20,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-21,Sunday,21,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-22,Monday,22,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-23,Tuesday,23,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-24,Wednesday,24,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-25,Thursday,25,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-26,Friday,26,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-27,Saturday,27,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-28,Sunday,28,4,April,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-04-29,Monday,29,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-04-30,Tuesday,30,4,April,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-01,Wednesday,1,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-02,Thursday,2,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-03,Friday,3,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-04,Saturday,4,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-05,Sunday,5,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-06,Monday,6,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-07,Tuesday,7,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-08,Wednesday,8,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-09,Thursday,9,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-10,Friday,10,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-11,Saturday,11,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-12,Sunday,12,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-13,Monday,13,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-14,Tuesday,14,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-15,Wednesday,15,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-16,Thursday,16,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-17,Friday,17,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-18,Saturday,18,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-19,Sunday,19,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-20,Monday,20,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-21,Tuesday,21,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-22,Wednesday,22,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-23,Thursday,23,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-24,Friday,24,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-25,Saturday,25,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-26,Sunday,26,5,May,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-05-27,Monday,27,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-28,Tuesday,28,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-29,Wednesday,29,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-30,Thursday,30,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-05-31,Friday,31,5,May,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-01,Saturday,1,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-02,Sunday,2,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-03,Monday,3,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-04,Tuesday,4,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-05,Wednesday,5,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-06,Thursday,6,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-07,Friday,7,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-08,Saturday,8,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-09,Sunday,9,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-10,Monday,10,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-11,Tuesday,11,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-12,Wednesday,12,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-13,Thursday,13,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-14,Friday,14,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-15,Saturday,15,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-16,Sunday,16,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-17,Monday,17,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-18,Tuesday,18,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-19,Wednesday,19,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-20,Thursday,20,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-21,Friday,21,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-22,Saturday,22,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-23,Sunday,23,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-24,Monday,24,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-25,Tuesday,25,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-26,Wednesday,26,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-27,Thursday,27,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-28,Friday,28,6,June,2024,2,2024Q2,2024,FY24Q1,False,0,
2024-06-29,Saturday,29,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-06-30,Sunday,30,6,June,2024,2,2024Q2,2024,FY24Q1,True,0,
2024-07-01,Monday,1,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-02,Tuesday,2,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-03,Wednesday,3,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-04,Thursday,4,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-05,Friday,5,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-06,Saturday,6,7,July,2024,3,2024Q3,2024,FY24Q2,True,0,
2024-07-07,Sunday,7,7,July,2024,3,2024Q3,2024,FY24Q2,True,0,
2024-07-08,Monday,8,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-09,Tuesday,9,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-10,Wednesday,10,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-11,Thursday,11,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-12,Friday,12,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-13,Saturday,13,7,July,2024,3,2024Q3,2024,FY24Q2,True,0,
2024-07-14,Sunday,14,7,July,2024,3,2024Q3,2024,FY24Q2,True,0,
2024-07-15,Monday,15,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-16,Tuesday,16,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-17,Wednesday,17,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
2024-07-18,Thursday,18,7,July,2024,3,2024Q3,2024,FY24Q2,False,0,
