order_item_id,order_id,product_id,store_id,quantity,unit_price,mrp_at_time,line_discount,line_total,is_cancelled,promo_id_applied
OIT0000000043,ORD000000017,SKU003128,STR00003,1,3061.69,3450.69,0.0,3061.69,0,
OIT0000000044,ORD000000017,SKU000571,STR00003,3,297.32,330.89,0.0,891.96,0,
OIT0000000045,ORD000000018,SKU002085,STR00003,2,545.64,614.07,0.0,1091.28,0,
OIT0000000046,ORD000000018,SKU000505,STR00003,1,26508.67,29435.77,0.0,26508.67,0,
OIT0000000047,ORD000000019,SKU000630,STR00003,4,1107.1,1135.73,0.0,4428.4,0,
OIT0000000048,ORD000000019,SKU001402,STR00003,2,1069.91,1238.79,0.0,2139.82,0,
OIT0000000049,ORD000000019,SKU000536,STR00003,2,2252.68,2636.88,1253.4,3251.96,0,PRM01668
OIT0000000050,ORD000000020,SKU003765,STR00003,3,531.91,593.79,0.0,1595.73,0,
OIT0000000051,ORD000000020,SKU003533,STR00003,3,1302.77,1494.37,0.0,3908.31,0,
OIT0000000052,ORD000000021,SKU000299,STR00003,4,2577.38,2833.45,0.0,10309.52,0,
OIT0000000053,ORD000000021,SKU002292,STR00003,4,481.62,533.42,0.0,1926.48,0,
OIT0000000054,ORD000000021,SKU002729,STR00003,1,533.13,649.39,0.0,533.13,0,
OIT0000000055,ORD000000022,SKU003583,STR00003,4,714.57,793.56,276.21,2582.07,0,PRM00283
OIT0000000056,ORD000000022,SKU003897,STR00003,2,1326.34,1379.89,0.0,2652.68,0,
OIT0000000057,ORD000000022,SKU003857,STR00003,3,575.2,575.2,0.0,1725.6,0,
OIT0000000058,ORD000000023,SKU002116,STR00003,2,2321.49,2321.49,0.0,4642.98,0,
OIT0000000059,ORD000000023,SKU002495,STR00003,4,70379.5,89542.81,0.0,281518.0,0,
OIT0000000060,ORD000000023,SKU000559,STR00003,1,894.37,1305.18,0.0,894.37,0,
OIT0000000061,ORD000000024,SKU002406,STR00003,2,79214.4,83610.15,31214.48,127214.32,0,PRM00433
OIT0000000062,ORD000000025,SKU000043,STR00003,2,3050.38,3050.38,0.0,6100.76,0,
OIT0000000063,ORD000000025,SKU001949,STR00003,2,54147.61,60996.27,10237.51,98057.71,0,PRM00884
OIT0000000064,ORD000000025,SKU003713,STR00003,3,3925.5,4185.5,0.0,11776.5,0,
OIT0000000065,ORD000000025,SKU002774,STR00003,3,2670.86,3034.72,0.0,8012.58,0,
OIT0000000066,ORD000000026,SKU003660,STR00003,1,2541.34,3308.51,0.0,2541.34,0,
OIT0000000067,ORD000000026,SKU000809,STR00003,1,2632.79,3105.37,484.08,2148.71,0,PRM01977
OIT0000000068,ORD000000026,SKU002112,STR00003,4,3699.44,4417.44,0.0,14797.76,0,
OIT0000000069,ORD000000027,SKU000820,STR00003,3,78645.33,88080.51,0.0,235935.99,0,
OIT0000000070,ORD000000028,SKU000518,STR00003,4,1256.64,1392.21,0.0,5026.56,0,
OIT0000000071,ORD000000028,SKU003362,STR00003,3,17254.26,22102.39,0.0,51762.78,0,
OIT0000000072,ORD000000028,SKU003466,STR00003,1,313.83,456.53,0.0,313.83,0,
OIT0000000073,ORD000000029,SKU001577,STR00003,1,4240.5,4537.09,0.0,4240.5,0,
OIT0000000074,ORD000000029,SKU001871,STR00003,1,801.58,882.96,0.0,801.58,0,
OIT0000000075,ORD000000030,SKU003362,STR00003,1,17254.26,22102.39,0.0,17254.26,0,
OIT0000000076,ORD000000030,SKU001861,STR00003,2,60042.07,64468.1,0.0,120084.14,0,
OIT0000000077,ORD000000030,SKU003274,STR00003,4,54707.6,63936.63,0.0,218830.4,0,
OIT0000000078,ORD000000031,SKU003857,STR00003,1,575.2,575.2,0.0,575.2,0,
OIT0000000079,ORD000000031,SKU002739,STR00003,1,846.73,904.83,229.11,617.62,0,PRM02342
OIT0000000080,ORD000000032,SKU001977,STR00003,1,2416.99,3095.1,0.0,2416.99,0,
OIT0000000081,ORD000000032,SKU000927,STR00003,3,3167.39,3332.18,0.0,9502.17,0,
OIT0000000082,ORD000000033,SKU000874,STR00003,2,388.56,431.52,0.0,777.12,0,
OIT0000000083,ORD000000033,SKU002111,STR00003,3,313.96,338.13,0.0,941.88,0,
OIT0000000084,ORD000000033,SKU002177,STR00003,3,29296.72,31765.09,4402.24,83487.92,0,PRM02397
OIT0000000085,ORD000000033,SKU002798,STR00003,4,1339.86,1494.06,0.0,5359.44,0,
OIT0000000086,ORD000000034,SKU003498,STR00003,1,10760.61,11393.44,0.0,10760.61,0,
OIT0000000087,ORD000000035,SKU000161,STR00003,2,1845.29,2163.33,430.28,3260.3,0,PRM02417
OIT0000000088,ORD000000035,SKU000487,STR00003,4,3125.34,3513.99,0.0,12501.36,0,
OIT0000000089,ORD000000035,SKU001326,STR00003,2,2671.82,3142.16,0.0,5343.64,0,
OIT0000000090,ORD000000035,SKU000172,STR00003,4,257.07,301.21,0.0,1028.28,0,
OIT0000000091,ORD000000035,SKU002566,STR00003,4,35661.22,44050.98,11316.31,131328.57,0,PRM02167
OIT0000000092,ORD000000036,SKU003493,STR00003,2,2872.28,2947.45,0.0,5744.56,0,
OIT0000000093,ORD000000036,SKU001700,STR00003,4,62675.67,84954.55,70228.33,180474.35,0,PRM02085
OIT0000000094,ORD000000037,SKU000510,STR00003,4,2960.09,3552.06,0.0,11840.36,0,
OIT0000000095,ORD000000037,SKU003722,STR00003,1,41582.97,48424.18,0.0,41582.97,0,
OIT0000000096,ORD000000037,SKU001236,STR00003,2,563.97,663.45,0.0,1127.94,0,
OIT0000000097,ORD000000037,SKU002442,STR00003,2,506.17,660.45,0.0,1012.34,0,
OIT0000000098,ORD000000038,SKU001551,STR00003,1,2595.24,2742.2,0.0,2595.24,0,
OIT0000000099,ORD000000038,SKU001028,STR00003,4,133.95,146.24,0.0,535.8,0,
OIT0000000100,ORD000000038,SKU001733,STR00003,1,2002.88,2518.33,526.44,1476.44,0,PRM00568
OIT0000000101,ORD000000039,SKU003533,STR00003,4,1302.77,1494.37,0.0,5211.08,0,
OIT0000000102,ORD000000040,SKU000284,STR00003,2,162.74,199.04,0.0,325.48,0,
OIT0000000103,ORD000000040,SKU000885,STR00003,1,522.12,626.05,150.99,371.13,0,PRM00318
OIT0000000104,ORD000000041,SKU002139,STR00003,1,2616.6,3382.24,0.0,2616.6,0,
OIT0000000105,ORD000000041,SKU001763,STR00003,1,1944.98,2521.18,0.0,1944.98,0,
OIT0000000106,ORD000000041,SKU002219,STR00003,1,3428.75,4074.59,0.0,3428.75,0,
OIT0000000107,ORD000000042,SKU002951,STR00003,3,670.18,694.16,0.0,2010.54,0,
OIT0000000108,ORD000000043,SKU001312,STR00003,4,1140.45,1394.7,0.0,4561.8,0,
OIT0000000109,ORD000000043,SKU001813,STR00003,2,31381.29,39178.61,12374.84,50387.74,0,PRM01865
OIT0000000110,ORD000000043,SKU003862,STR00003,1,652.82,735.89,0.0,652.82,0,
OIT0000000111,ORD000000044,SKU002653,STR00003,2,25015.04,31677.25,0.0,50030.08,0,
OIT0000000112,ORD000000044,SKU003428,STR00003,2,1744.08,1968.92,0.0,3488.16,0,
OIT0000000113,ORD000000044,SKU003188,STR00003,4,58861.87,65764.45,0.0,235447.48,1,
OIT0000000114,ORD000000044,SKU001100,STR00003,2,709.91,825.25,0.0,1419.82,0,
OIT0000000115,ORD000000045,SKU000112,STR00003,4,31984.08,39014.12,0.0,127936.32,0,
OIT0000000116,ORD000000045,SKU000470,STR00003,3,22421.53,23712.01,0.0,67264.59,0,
OIT0000000117,ORD000000046,SKU002478,STR00003,2,65675.53,81484.48,0.0,131351.06,0,
OIT0000000118,ORD000000046,SKU001513,STR00003,3,2929.58,2929.58,0.0,8788.74,0,
OIT0000000119,ORD000000046,SKU002517,STR00003,1,764.97,973.12,0.0,764.97,0,
OIT0000000120,ORD000000047,SKU002406,STR00003,2,79214.4,83610.15,24261.21,134167.59,0,PRM00569
OIT0000000121,ORD000000047,SKU002777,STR00003,3,2693.47,2693.47,0.0,8080.41,0,
OIT0000000122,ORD000000047,SKU003534,STR00003,2,199.12,242.67,0.0,398.24,0,
OIT0000000123,ORD000000048,SKU000473,STR00003,1,70886.77,85109.97,0.0,70886.77,0,
OIT0000000124,ORD000000048,SKU001901,STR00003,1,213.23,257.07,52.24,160.99,0,PRM00147
OIT0000000125,ORD000000049,SKU000978,STR00003,3,560.34,644.9,0.0,1681.02,0,
OIT0000000126,ORD000000049,SKU002094,STR00003,1,418.7,442.11,0.0,418.7,0,
OIT0000000127,ORD000000050,SKU003448,STR00003,4,372.68,457.43,0.0,1490.72,0,
OIT0000000128,ORD000000050,SKU002517,STR00003,4,764.97,973.12,0.0,3059.88,0,
OIT0000000129,ORD000000051,SKU000874,STR00003,2,388.56,431.52,0.0,777.12,0,
OIT0000000130,ORD000000051,SKU000868,STR00003,3,114.32,125.11,0.0,342.96,0,
OIT0000000131,ORD000000052,SKU002739,STR00003,1,846.73,904.83,0.0,846.73,0,
OIT0000000132,ORD000000052,SKU003075,STR00003,3,50838.6,57531.93,0.0,152515.8,0,
OIT0000000133,ORD000000052,SKU003118,STR00003,4,456.4,532.06,0.0,1825.6,0,
OIT0000000134,ORD000000052,SKU000714,STR00003,1,2013.45,2096.91,0.0,2013.45,0,
OIT0000000135,ORD000000053,SKU002591,STR00003,1,102.94,113.45,0.0,102.94,0,
OIT0000000136,ORD000000053,SKU000789,STR00003,2,68346.67,71520.35,0.0,136693.34,0,
OIT0000000137,ORD000000053,SKU001539,STR00003,2,145.73,168.33,0.0,291.46,0,
OIT0000000138,ORD000000053,SKU000617,STR00003,2,500.48,540.01,0.0,1000.96,0,
OIT0000000139,ORD000000053,SKU000797,STR00003,3,372.23,434.88,0.0,1116.69,0,
OIT0000000140,ORD000000054,SKU003947,STR00003,2,7805.56,9000.33,0.0,15611.12,0,
OIT0000000141,ORD000000054,SKU001925,STR00003,1,2202.38,2435.75,0.0,2202.38,0,
OIT0000000142,ORD000000054,SKU002774,STR00003,2,2670.86,3034.72,414.36,4927.36,0,PRM01822
OIT0000000143,ORD000000054,SKU000505,STR00003,3,26508.67,29435.77,0.0,79526.01,0,
OIT0000000144,ORD000000055,SKU001902,STR00003,1,1933.88,2489.2,0.0,1933.88,0,
OIT0000000145,ORD000000055,SKU002241,STR00003,3,3438.6,4264.06,0.0,10315.8,0,
OIT0000000146,ORD000000056,SKU003817,STR00003,1,1907.57,2297.11,0.0,1907.57,0,
OIT0000000147,ORD000000056,SKU000292,STR00003,2,314.3,343.13,112.96,515.64,0,PRM00680
OIT0000000148,ORD000000057,SKU001208,STR00003,4,1337.65,1710.13,0.0,5350.6,0,
OIT0000000149,ORD000000057,SKU003897,STR00003,4,1326.34,1379.89,826.73,4478.63,0,PRM01757
OIT0000000150,ORD000000058,SKU001125,STR00003,2,365.8,441.66,0.0,731.6,0,
OIT0000000151,ORD000000058,SKU001477,STR00003,1,4413.67,5873.0,0.0,4413.67,0,
OIT0000000152,ORD000000059,SKU002868,STR00005,1,63209.99,80771.42,0.0,63209.99,0,
OIT0000000153,ORD000000059,SKU001420,STR00005,1,136.37,136.37,30.06,106.31,0,PRM02868
OIT0000000154,ORD000000059,SKU003697,STR00005,1,704.28,764.65,153.04,551.24,1,PRM02669
OIT0000000155,ORD000000059,SKU001888,STR00005,3,3180.52,3828.52,0.0,9541.56,0,
OIT0000000156,ORD000000060,SKU003471,STR00005,1,51.89,61.93,0.0,51.89,0,
OIT0000000157,ORD000000060,SKU003260,STR00005,2,261.17,325.33,0.0,522.34,0,
OIT0000000158,ORD000000060,SKU000135,STR00005,1,50903.27,66596.9,0.0,50903.27,0,
OIT0000000159,ORD000000061,SKU000784,STR00005,1,1803.23,1868.52,0.0,1803.23,0,
OIT0000000160,ORD000000061,SKU001856,STR00005,2,1304.59,1476.62,0.0,2609.18,0,
OIT0000000161,ORD000000062,SKU002392,STR00005,4,692.32,736.71,381.92,2387.36,1,PRM02005
OIT0000000162,ORD000000062,SKU000637,STR00005,2,3314.46,3871.78,0.0,6628.92,0,
OIT0000000163,ORD000000062,SKU001905,STR00005,1,19060.51,25983.02,0.0,19060.51,0,
OIT0000000164,ORD000000063,SKU003493,STR00005,3,2872.28,2947.45,0.0,8616.84,0,
OIT0000000165,ORD000000063,SKU002769,STR00005,2,3861.36,4682.73,0.0,7722.72,0,
OIT0000000166,ORD000000064,SKU001587,STR00005,1,1175.46,1313.85,0.0,1175.46,0,
OIT0000000167,ORD000000064,SKU000874,STR00005,3,388.56,431.52,0.0,1165.68,0,
OIT0000000168,ORD000000064,SKU001633,STR00005,3,587.65,763.35,0.0,1762.95,0,
OIT0000000169,ORD000000065,SKU000934,STR00005,1,226.04,279.83,0.0,226.04,0,
OIT0000000170,ORD000000065,SKU000272,STR00005,1,196.61,231.37,0.0,196.61,0,
OIT0000000171,ORD000000065,SKU003454,STR00005,1,1502.41,1794.33,0.0,1502.41,0,
OIT0000000172,ORD000000066,SKU003833,STR00005,2,76204.62,84650.59,0.0,152409.24,0,
OIT0000000173,ORD000000066,SKU001954,STR00005,1,3433.41,3433.41,0.0,3433.41,0,
OIT0000000174,ORD000000066,SKU003263,STR00005,4,80182.26,86270.36,92839.26,227889.78,0,PRM01539
OIT0000000175,ORD000000066,SKU003263,STR00005,2,80182.26,86270.36,15875.78,144488.74,0,PRM01260
OIT0000000176,ORD000000066,SKU003805,STR00005,4,60039.19,65409.25,0.0,240156.76,0,
OIT0000000177,ORD000000066,SKU001161,STR00005,1,57212.44,65204.82,0.0,57212.44,0,
OIT0000000178,ORD000000066,SKU001228,STR00005,1,1092.86,1250.45,0.0,1092.86,0,
OIT0000000179,ORD000000067,SKU003800,STR00005,2,1102.58,1208.74,0.0,2205.16,0,
OIT0000000180,ORD000000067,SKU003546,STR00005,1,642.15,676.31,0.0,642.15,0,
OIT0000000181,ORD000000068,SKU003775,STR00005,2,53216.93,61987.13,0.0,106433.86,1,
OIT0000000182,ORD000000068,SKU000973,STR00005,1,1586.28,1586.28,0.0,1586.28,1,
OIT0000000183,ORD000000069,SKU001944,STR00005,1,2187.93,2869.45,463.14,1724.79,0,PRM02404
OIT0000000184,ORD000000069,SKU003474,STR00005,4,562.59,615.12,0.0,2250.36,0,
OIT0000000185,ORD000000069,SKU003644,STR00005,3,3672.01,4540.14,0.0,11016.03,0,
OIT0000000186,ORD000000069,SKU001228,STR00005,1,1092.86,1250.45,130.83,962.03,0,PRM02569
OIT0000000187,ORD000000069,SKU003978,STR00005,3,45819.62,50317.74,0.0,137458.86,0,
OIT0000000188,ORD000000070,SKU002932,STR00005,3,722.83,784.9,0.0,2168.49,0,
OIT0000000189,ORD000000070,SKU001305,STR00005,2,1035.36,1045.79,0.0,2070.72,0,
OIT0000000190,ORD000000070,SKU002152,STR00005,3,43237.56,51024.85,0.0,129712.68,0,
OIT0000000191,ORD000000071,SKU003797,STR00005,3,22876.98,26604.17,0.0,68630.94,0,
OIT0000000192,ORD000000071,SKU003805,STR00005,1,60039.19,65409.25,0.0,60039.19,0,
OIT0000000193,ORD000000071,SKU001274,STR00005,1,2472.0,2766.6,0.0,2472.0,0,
OIT0000000194,ORD000000071,SKU002734,STR00005,4,898.26,1018.38,1015.06,2577.98,1,PRM02036
OIT0000000195,ORD000000072,SKU002859,STR00005,1,613.27,710.34,0.0,613.27,0,
OIT0000000196,ORD000000072,SKU000524,STR00005,2,155.79,171.22,0.0,311.58,0,
OIT0000000197,ORD000000072,SKU002152,STR00005,4,43237.56,51024.85,0.0,172950.24,0,
OIT0000000198,ORD000000073,SKU000662,STR00005,1,1220.98,1312.03,0.0,1220.98,0,
OIT0000000199,ORD000000073,SKU002028,STR00005,1,5807.18,5807.18,0.0,5807.18,0,
OIT0000000200,ORD000000073,SKU003144,STR00005,2,33945.87,38417.19,0.0,67891.74,0,
